tamano_cola,capacidad_total,lambda_sobre_mu,lambda,corrida,prob_denegacion,P_bloqueo_teorico
5,6,1.0,10.0,10,0.16084604033448105,0.14285714285714285
5,6,1.25,12.5,1,0.2693798449612403,0.25307332242756025
5,6,1.25,12.5,2,0.2879438158408115,0.25307332242756025
5,6,1.25,12.5,3,0.24071807425540595,0.25307332242756025
5,6,1.25,12.5,4,0.22708840227088403,0.25307332242756025
5,6,1.25,12.5,5,0.2725880551301684,0.25307332242756025
5,6,1.25,12.5,6,0.26442687747035576,0.25307332242756025
5,6,1.25,12.5,7,0.2532102728731942,0.25307332242756025
5,6,1.25,12.5,8,0.2517591868647381,0.25307332242756025
5,6,1.25,12.5,9,0.23422680412371133,0.25307332242756025
5,6,1.25,12.5,10,0.2322527697989331,0.25307332242756025
10,11,0.25,2.5,1,0.0,1.7881394498431355e-07
10,11,0.25,2.5,2,0.0,1.7881394498431355e-07
10,11,0.25,2.5,3,0.0,1.7881394498431355e-07
10,11,0.25,2.5,4,0.0,1.7881394498431355e-07
10,11,0.25,2.5,5,0.0,1.7881394498431355e-07
10,11,0.25,2.5,6,0.0,1.7881394498431355e-07
10,11,0.25,2.5,7,0.0,1.7881394498431355e-07
10,11,0.25,2.5,8,0.0,1.7881394498431355e-07
10,11,0.25,2.5,9,0.0,1.7881394498431355e-07
10,11,0.25,2.5,10,0.0,1.7881394498431355e-07
10,11,0.5,5.0,1,0.0,0.0002442002442002442
10,11,0.5,5.0,2,0.0,0.0002442002442002442
10,11,0.5,5.0,3,0.0,0.0002442002442002442
10,11,0.5,5.0,4,0.0,0.0002442002442002442
10,11,0.5,5.0,5,0.0,0.0002442002442002442
10,11,0.5,5.0,6,0.0,0.0002442002442002442
10,11,0.5,5.0,7,0.001951219512195122,0.0002442002442002442
10,11,0.5,5.0,8,0.0,0.0002442002442002442
10,11,0.5,5.0,9,0.0,0.0002442002442002442
10,11,0.5,5.0,10,0.0,0.0002442002442002442
10,11,0.75,7.5,1,0.0260347129506008,0.010904188935277018
10,11,0.75,7.5,2,0.008119079837618403,0.010904188935277018
10,11,0.75,7.5,3,0.0032615786040443573,0.010904188935277018
10,11,0.75,7.5,4,0.007417397167902899,0.010904188935277018
10,11,0.75,7.5,5,0.0,0.010904188935277018
10,11,0.75,7.5,6,0.0053872053872053875,0.010904188935277018
10,11,0.75,7.5,7,0.01078167115902965,0.010904188935277018
10,11,0.75,7.5,8,0.01126573889993373,0.010904188935277018
10,11,0.75,7.5,9,0.006056527590847914,0.010904188935277018
10,11,0.75,7.5,10,0.022591362126245847,0.010904188935277018
10,11,1.0,10.0,1,0.07703703703703704,0.08333333333333333
10,11,1.0,10.0,2,0.07429718875502007,0.08333333333333333
10,11,1.0,10.0,3,0.10077519379844961,0.08333333333333333
10,11,1.0,10.0,4,0.054865424430641824,0.08333333333333333
10,11,1.0,10.0,5,0.097,0.08333333333333333
10,11,1.0,10.0,6,0.11197285506543868,0.08333333333333333
10,11,1.0,10.0,7,0.0797846304454234,0.08333333333333333
10,11,1.0,10.0,8,0.0528169014084507,0.08333333333333333
10,11,1.0,10.0,9,0.06369107321965897,0.08333333333333333
10,11,1.0,10.0,10,0.06874381800197824,0.08333333333333333
10,11,1.25,12.5,1,0.20274083031035872,0.21475806161931713
10,11,1.25,12.5,2,0.24719969100038625,0.21475806161931713
10,11,1.25,12.5,3,0.2138289368505196,0.21475806161931713
10,11,1.25,12.5,4,0.2096444626072742,0.21475806161931713
10,11,1.25,12.5,5,0.2740652346857597,0.21475806161931713
10,11,1.25,12.5,6,0.2025518341307815,0.21475806161931713
10,11,1.25,12.5,7,0.2249203821656051,0.21475806161931713
10,11,1.25,12.5,8,0.23870716510903428,0.21475806161931713
10,11,1.25,12.5,9,0.2066147859922179,0.21475806161931713
10,11,1.25,12.5,10,0.2329591018444266,0.21475806161931713
50,51,0.25,2.5,1,0.0,1.4791141972893971e-31
50,51,0.25,2.5,2,0.0,1.4791141972893971e-31
50,51,0.25,2.5,3,0.0,1.4791141972893971e-31
50,51,0.25,2.5,4,0.0,1.4791141972893971e-31
50,51,0.25,2.5,5,0.0,1.4791141972893971e-31
50,51,0.25,2.5,6,0.0,1.4791141972893971e-31
50,51,0.25,2.5,7,0.0,1.4791141972893971e-31
50,51,0.25,2.5,8,0.0,1.4791141972893971e-31
50,51,0.25,2.5,9,0.0,1.4791141972893971e-31
50,51,0.25,2.5,10,0.0,1.4791141972893971e-31
50,51,0.5,5.0,1,0.0,2.2204460492503136e-16
50,51,0.5,5.0,2,0.0,2.2204460492503136e-16
50,51,0.5,5.0,3,0.0,2.2204460492503136e-16
50,51,0.5,5.0,4,0.0,2.2204460492503136e-16
50,51,0.5,5.0,5,0.0,2.2204460492503136e-16
50,51,0.5,5.0,6,0.0,2.2204460492503136e-16
50,51,0.5,5.0,7,0.0,2.2204460492503136e-16
50,51,0.5,5.0,8,0.0,2.2204460492503136e-16
