tipo_cola,tamano_cola,lambda_sobre_mu,lambda,Q,P_Q_n
infinita,infinita,1.0,10.0,73,0.00621252452637618
infinita,infinita,1.0,10.0,74,0.006478868956313783
infinita,infinita,1.0,10.0,75,0.00727969135782935
infinita,infinita,1.0,10.0,76,0.005893175524482248
infinita,infinita,1.0,10.0,77,0.005712246923155056
infinita,infinita,1.0,10.0,78,0.005643242559109995
infinita,infinita,1.0,10.0,79,0.006178880814141295
infinita,infinita,1.0,10.0,80,0.006445815615669892
infinita,infinita,1.0,10.0,81,0.006272508912886455
infinita,infinita,1.0,10.0,82,0.006130256978879102
infinita,infinita,1.0,10.0,83,0.0077257655395560525
infinita,infinita,1.0,10.0,84,0.008192483309311162
infinita,infinita,1.0,10.0,85,0.009834682895953345
infinita,infinita,1.0,10.0,86,0.00901736952474716
infinita,infinita,1.0,10.0,87,0.008863489986294491
infinita,infinita,1.0,10.0,88,0.009973932682034163
infinita,infinita,1.0,10.0,89,0.008532066827671762
infinita,infinita,1.0,10.0,90,0.007978730938785929
infinita,infinita,1.0,10.0,91,0.00789349977053514
infinita,infinita,1.0,10.0,92,0.0078108734525717555
infinita,infinita,1.0,10.0,93,0.007561477026005718
infinita,infinita,1.0,10.0,94,0.007563887081932634
infinita,infinita,1.0,10.0,95,0.005830036751785002
infinita,infinita,1.0,10.0,96,0.00421580486586025
infinita,infinita,1.0,10.0,97,0.006673247566652421
infinita,infinita,1.0,10.0,98,0.006950623340952661
infinita,infinita,1.0,10.0,99,0.007618912328740094
infinita,infinita,1.0,10.0,100,0.007484620355397524
infinita,infinita,1.0,10.0,101,0.007152592686465571
infinita,infinita,1.0,10.0,102,0.0075124262975495
infinita,infinita,1.0,10.0,103,0.007910175296784274
infinita,infinita,1.0,10.0,104,0.007461939104133073
infinita,infinita,1.0,10.0,105,0.008901258550360006
infinita,infinita,1.0,10.0,106,0.006844693098255785
infinita,infinita,1.0,10.0,107,0.0070944513303671285
infinita,infinita,1.0,10.0,108,0.005487417721527735
infinita,infinita,1.0,10.0,109,0.003950593763569046
infinita,infinita,1.0,10.0,110,0.0059638563600221415
infinita,infinita,1.0,10.0,111,0.005918665643554952
infinita,infinita,1.0,10.0,112,0.005459039613225408
infinita,infinita,1.0,10.0,113,0.006185617481121337
infinita,infinita,1.0,10.0,114,0.0059736238727315615
infinita,infinita,1.0,10.0,115,0.0062665633004712435
infinita,infinita,1.0,10.0,116,0.005156556655511473
infinita,infinita,1.0,10.0,117,0.004910567770753822
infinita,infinita,1.0,10.0,118,0.0044907166831062995
infinita,infinita,1.0,10.0,119,0.0043107015229719
infinita,infinita,1.0,10.0,120,0.0037810614740489794
infinita,infinita,1.0,10.0,121,0.0030155123786085444
infinita,infinita,1.0,10.0,122,0.004020918364485434
infinita,infinita,1.0,10.0,123,0.004273624140475031
infinita,infinita,1.0,10.0,124,0.0055861318740290265
infinita,infinita,1.0,10.0,125,0.005695057881528763
infinita,infinita,1.0,10.0,126,0.0033446247028882208
infinita,infinita,1.0,10.0,127,0.0035575172657956954
infinita,infinita,1.0,10.0,128,0.003033860250031708
infinita,infinita,1.0,10.0,129,0.003877350833792903
infinita,infinita,1.0,10.0,130,0.006233810877252779
infinita,infinita,1.0,10.0,131,0.004599578261312871
infinita,infinita,1.0,10.0,132,0.006676215085186499
infinita,infinita,1.0,10.0,133,0.004301606915495811
infinita,infinita,1.0,10.0,134,0.004468062962668356
infinita,infinita,1.0,10.0,135,0.005458371393694108
infinita,infinita,1.0,10.0,136,0.004253211595249056
infinita,infinita,1.0,10.0,137,0.0033113036468801482
infinita,infinita,1.0,10.0,138,0.0025155316693737714
infinita,infinita,1.0,10.0,139,0.0031806901997817505
infinita,infinita,1.0,10.0,140,0.0015410358259133972
infinita,infinita,1.0,10.0,141,0.0006912515257060648
infinita,infinita,1.25,12.5,0,0.002792280228137249
infinita,infinita,1.25,12.5,1,0.0013749235945001632
infinita,infinita,1.25,12.5,2,0.001729225718201857
infinita,infinita,1.25,12.5,3,0.0014633674684718233
infinita,infinita,1.25,12.5,4,0.0013316783493212939
infinita,infinita,1.25,12.5,5,0.00139606157261647
infinita,infinita,1.25,12.5,6,0.0017364977054781083
infinita,infinita,1.25,12.5,7,0.0019717608079405807
infinita,infinita,1.25,12.5,8,0.0016375083595225348
infinita,infinita,1.25,12.5,9,0.0015861909712052453
infinita,infinita,1.25,12.5,10,0.0014599219120093223
infinita,infinita,1.25,12.5,11,0.002232387078770741
